학제,학교명,학교상태,시도,설립, 학과수_전체 , 모집인원_계 , 지원자_전체_계 , 지원자_전체_남 , 지원자_전체_여 , 입학자_전체_계 , 입학자_전체_남 , 입학자_전체_여 , 재학생_전체_계 , 재학생_전체_남 , 재학생_전체_여 , 외국인유학생 학위과정_계 , 외국인유학생 학위과정_남 , 외국인유학생 학위과정_여 
 대학교 , 경북대학교 , 기존 , 대구 , 국립 ,179,5155,51120,29334,21786,5078,2952,2126,22303,12873,9430,627,269,358
 대학교 , 부경대학교 , 기존 , 부산 , 국립 ,102,3770,25201,13567,11634,3680,1921,1759,16094,8430,7664,826,335,491
 대학교 , 부산대학교 , 기존 , 부산 , 국립 ,108,4555,47263,27154,20109,4516,2611,1905,20502,11219,9283,531,223,308
 대학교 , 서울대학교 , 기존 , 서울 , 국립대법인 ,128,3383,21379,10578,10801,3378,2001,1377,16608,9619,6989,226,84,142
 대학교 , 전남대학교 , 기존 , 광주 , 국립 ,103,3523,22350,11022,11328,3466,1666,1800,16381,8072,8309,835,523,312
 대학교 , 한국체육대학교 , 기존 , 서울 , 국립 ,10,592,2025,1364,661,585,357,228,2512,1578,934,8,7,1
 대학교 , 한국해양대학교 , 기존 , 부산 , 국립 ,44,1670,8443,5937,2506,1571,1154,417,6422,4663,1759,30,20,10
 대학교 , 서울과학기술대학교 , 기존 , 서울 , 국립 ,46,2417,26336,16868,9468,2373,1428,945,10587,6559,4028,470,245,225
 대학교 , 한경대학교 , 기존 , 경기 , 국립 ,52,1304,7245,4371,2874,1224,733,491,5208,3123,2085,38,22,16
 대학교 , 서울시립대학교 , 기존 , 서울 , 공립 ,51,1814,24100,14123,9977,1822,1093,729,9028,5410,3618,252,64,188
 대학교 , 가톨릭대학교 , 기존 , 경기 , 사립 ,57,1615,17535,7309,10226,1599,677,922,7163,2930,4233,321,184,137
 대학교 , 가톨릭대학교 , 기존 , 서울 , 사립 ,3,184,5620,3189,2431,180,82,98,923,421,502,2,2,0
 대학교 , 가톨릭대학교 , 기존 , 서울 , 사립 ,1,56,70,50,20,53,43,10,231,190,41,9,9,0
 대학교 , 감리교신학대학교 , 기존 , 서울 , 사립 ,4,217,345,215,130,198,117,81,814,511,303,3,3,0
 대학교 , 강남대학교 , 기존 , 경기 , 사립 ,58,1643,11703,5671,6032,1616,752,864,6695,3046,3649,170,94,76
 대학교 , 건국대학교 , 기존 , 서울 , 사립 ,95,3584,63963,35535,28428,3553,1941,1612,15764,8304,7460,1372,385,987
 대학교 , 경기대학교 , 기존 , 경기 , 사립 ,51,2898,26931,13164,13767,2896,1337,1559,11732,5634,6098,436,194,242
 대학교 , 경기대학교 , 기존 , 서울 , 사립 ,20,504,7991,3026,4965,502,146,356,1980,635,1345,525,156,369
 대학교 , 경동대학교 , 기존 , 경기 , 사립 ,21,760,4871,2888,1983,760,448,312,2509,1411,1098,118,108,10
 대학교 , 경성대학교 , 기존 , 부산 , 사립 ,92,3073,20315,9263,11052,3062,1407,1655,12454,5673,6781,1014,607,407
 대학교 , 가천대학교 , 기존 , 경기 , 사립 ,85,4189,62956,31572,31384,4186,2018,2168,18678,9008,9670,906,498,408
 대학교 , 경희대학교 , 기존 , 서울 , 사립 ,93,5843,83959,41853,42106,5739,2703,3036,25875,12293,13582,2939,878,2061
 대학교 , 계명대학교 , 기존 , 대구 , 사립 ,115,5118,33136,16097,17039,4948,2234,2714,20692,9292,11400,894,462,432
 대학교 , 고려대학교 , 기존 , 서울 , 사립 ,72,4454,34575,18407,16168,4405,2247,2158,20822,10819,10003,2154,635,1519
 대학교 , 고신대학교 , 기존 , 부산 , 사립 ,33,941,5502,2219,3283,928,395,533,3920,1736,2184,20,7,13
 대학교 , 광신대학교 , 기존 , 광주 , 사립 ,8,135,208,82,126,130,52,78,514,213,301,35,14,21
 대학교 , 광운대학교 , 기존 , 서울 , 사립 ,66,2044,24012,14861,9151,2024,1232,792,8182,5194,2988,733,354,379
 대학교 , 광주여자대학교 , 기존 , 광주 , 사립 ,21,990,5329,0,5329,990,0,990,3735,0,3735,112,0,112
