학제,학교명,학교상태,시도,설립, 학과수_전체 , 모집인원_계 , 지원자_전체_계 , 지원자_전체_남 , 지원자_전체_여 , 입학자_전체_계 , 입학자_전체_남 , 입학자_전체_여 , 재학생_전체_계 , 재학생_전체_남 , 재학생_전체_여 , 외국인유학생 학위과정_계 , 외국인유학생 학위과정_남 , 외국인유학생 학위과정_여 
 대학교 , 경북대학교 , 기존 , 대구 , 국립 , 179 ," 5,155 "," 51,120 "," 29,334 "," 21,786 "," 5,078 "," 2,952 "," 2,126 "," 22,303 "," 12,873 "," 9,430 ", 627 , 269 , 358 
 대학교 , 부경대학교 , 기존 , 부산 , 국립 , 102 ," 3,770 "," 25,201 "," 13,567 "," 11,634 "," 3,680 "," 1,921 "," 1,759 "," 16,094 "," 8,430 "," 7,664 ", 826 , 335 , 491 
 대학교 , 부산대학교 , 기존 , 부산 , 국립 , 108 ," 4,555 "," 47,263 "," 27,154 "," 20,109 "," 4,516 "," 2,611 "," 1,905 "," 20,502 "," 11,219 "," 9,283 ", 531 , 223 , 308 
 대학교 , 서울대학교 , 기존 , 서울 , 국립대법인 , 128 ," 3,383 "," 21,379 "," 10,578 "," 10,801 "," 3,378 "," 2,001 "," 1,377 "," 16,608 "," 9,619 "," 6,989 ", 226 , 84 , 142 
 대학교 , 전남대학교 , 기존 , 광주 , 국립 , 103 ," 3,523 "," 22,350 "," 11,022 "," 11,328 "," 3,466 "," 1,666 "," 1,800 "," 16,381 "," 8,072 "," 8,309 ", 835 , 523 , 312 
 대학교 , 한국체육대학교 , 기존 , 서울 , 국립 , 10 , 592 ," 2,025 "," 1,364 ", 661 , 585 , 357 , 228 ," 2,512 "," 1,578 ", 934 , 8 , 7 , 1 
 대학교 , 한국해양대학교 , 기존 , 부산 , 국립 , 44 ," 1,670 "," 8,443 "," 5,937 "," 2,506 "," 1,571 "," 1,154 ", 417 ," 6,422 "," 4,663 "," 1,759 ", 30 , 20 , 10 
 대학교 , 서울과학기술대학교 , 기존 , 서울 , 국립 , 46 ," 2,417 "," 26,336 "," 16,868 "," 9,468 "," 2,373 "," 1,428 ", 945 ," 10,587 "," 6,559 "," 4,028 ", 470 , 245 , 225 
 대학교 , 한경대학교 , 기존 , 경기 , 국립 , 52 ," 1,304 "," 7,245 "," 4,371 "," 2,874 "," 1,224 ", 733 , 491 ," 5,208 "," 3,123 "," 2,085 ", 38 , 22 , 16 
 대학교 , 서울시립대학교 , 기존 , 서울 , 공립 , 51 ," 1,814 "," 24,100 "," 14,123 "," 9,977 "," 1,822 "," 1,093 ", 729 ," 9,028 "," 5,410 "," 3,618 ", 252 , 64 , 188 
 대학교 , 가톨릭대학교 , 기존 , 경기 , 사립 , 57 ," 1,615 "," 17,535 "," 7,309 "," 10,226 "," 1,599 ", 677 , 922 ," 7,163 "," 2,930 "," 4,233 ", 321 , 184 , 137 
 대학교 , 가톨릭대학교 , 기존 , 서울 , 사립 , 3 , 184 ," 5,620 "," 3,189 "," 2,431 ", 180 , 82 , 98 , 923 , 421 , 502 , 2 , 2 , - 
 대학교 , 가톨릭대학교 , 기존 , 서울 , 사립 , 1 , 56 , 70 , 50 , 20 , 53 , 43 , 10 , 231 , 190 , 41 , 9 , 9 , - 
 대학교 , 감리교신학대학교 , 기존 , 서울 , 사립 , 4 , 217 , 345 , 215 , 130 , 198 , 117 , 81 , 814 , 511 , 303 , 3 , 3 , - 
 대학교 , 강남대학교 , 기존 , 경기 , 사립 , 58 ," 1,643 "," 11,703 "," 5,671 "," 6,032 "," 1,616 ", 752 , 864 ," 6,695 "," 3,046 "," 3,649 ", 170 , 94 , 76 
 대학교 , 건국대학교 , 기존 , 서울 , 사립 , 95 ," 3,584 "," 63,963 "," 35,535 "," 28,428 "," 3,553 "," 1,941 "," 1,612 "," 15,764 "," 8,304 "," 7,460 "," 1,372 ", 385 , 987 
 대학교 , 경기대학교 , 기존 , 경기 , 사립 , 51 ," 2,898 "," 26,931 "," 13,164 "," 13,767 "," 2,896 "," 1,337 "," 1,559 "," 11,732 "," 5,634 "," 6,098 ", 436 , 194 , 242 
